Reference,Generated,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,BARTScore
A Study on Biodiesel NOx Emission Control With the Reduced Chemical Kinetics Model,Effects of the start of injection timings and EGR Rate on nitrogen oxide emissions of biodiesel-powered diesel engine,0.25,0.0,0.125,0.8685212135314941,-4.88382625579834
Cathodoluminescence Microanalysis of Irradiated Microcrystalline and Nanocrystalline Samarium Doped BaFCl,Cathodoluminescence microanalysis of BaFCl:Sm3+ nanoparticles.,0.5,0.2857142857142857,0.5,0.893236517906189,-3.289233922958374
Optoelectronic and all-optical multiple memory states in vanadium dioxide,Resistance and infrared transmittance of vanadium dioxide from heating of the hysteresis loop,0.2608695652173913,0.09523809523809525,0.2608695652173913,0.8521836996078491,-5.175171852111816
Sharp asymptotic for the chemical distance in long‐range percolation,Asymptotic scaling of long‐range percolation on Zd and Rd,0.4000000000000001,0.2222222222222222,0.4000000000000001,0.8985087871551514,-4.179185390472412
On the feasibility of high-power radios in sensor networks,Energy-Efficient Wireless Sensor Radio,0.26666666666666666,0.0,0.13333333333333333,0.8852044343948364,-5.630859375
What is Climate Change?,Incompatibility between the definitions of science and policy organizations is an obstacle to effective action,0.10526315789473685,0.0,0.10526315789473685,0.8272953033447266,-4.094865798950195
THE FINAL-PARSEC PROBLEM IN NONSPHERICAL GALAXIES REVISITED,"The evolution of supermassive black hole binaries at the center of spherical, axisymmetric galaxies",0.18181818181818182,0.0,0.18181818181818182,0.7992373704910278,-5.818807125091553
Custom-Fit Parenting: How Low- and Well-Accepted Young Adolescents Benefit from Peer-Related Parenting,Comparative associations between peer-related parenting behaviors and peer adjustment,0.32,0.17391304347826086,0.24,0.8549918532371521,-4.127849578857422
Seedling resistance to herbivory as a predictor of relative abundance in a synthesised prairie community,Evidence for herbivory resistance in prairie prairie grasses,0.3478260869565218,0.0,0.26086956521739135,0.8970222473144531,-4.455905437469482
Leveraging Prior Knowledge Asymmetries in the Design of Location Privacy-Preserving Mechanisms,Randomized Remapping for Privacy-Preserving Mechanisms,0.3333333333333333,0.25000000000000006,0.3333333333333333,0.8939462900161743,-4.711026191711426
In silico simulations of tunneling barrier measurements for molecular orbital-mediated junctions: A molecular orbital theory approach to scanning tunneling microscopy,A simulator for scanning tunneling microscopy for molecular adsorbates,0.4666666666666666,0.21428571428571425,0.33333333333333326,0.8889018893241882,-4.962178707122803
Factors affecting activity and selectivity in the oxidation of glycerol promoted by platinum catalysts,Kinetics of the catalytic oxidation of glycerol in water solutions by silica-supported platinum catalysts,0.5517241379310344,0.22222222222222224,0.4827586206896552,0.9145227670669556,-3.3830933570861816
Extreme metal carbonyl back bonding in cyclopentadienylthorium carbonyls generates bridging C2O2 ligands by carbonyl coupling.,Bridging infrared ν(CO) frequencies of carbonyls with four-electron donor bridging CO.,0.14814814814814814,0.0,0.14814814814814814,0.8564938902854919,-4.114782333374023
